id,name,lat,lng,address,tel
25,ホテルしゅりリゾート,26.220556,127.721111,沖縄県那覇市首里寒水川町1-72,098-887-1234
26,ノボテル沖縄那覇,26.225103,127.702714,沖縄県那覇市松川40番地,098-887-1111
27,那覇セントラルホテル,26.219852,127.686888,沖縄県那覇市牧志2-18-1,098-862-6070
28,コミュニティ＆ドミトリー Ｎｏｒａ,26.218333,127.691667,沖縄県那覇市三原1-15-5,098-854-1544
29,宿とコーヒー Ｈｉｙｏｒｉ,26.224167,127.7125,沖縄県那覇市首里汀良町3-82-4,080-6481-8043
30,首里城下町民間宿（いろは庭付近）,26.220278,127.716944,沖縄県那覇市首里寒水川町1-51,098-885-2310
31,ゲストハウス けらま,26.214444,127.683333,沖縄県那覇市安里1-1-58,098-866-1361
32,ホテル ライブマックス那覇泊港,26.223611,127.681111,沖縄県那覇市前島2-12-12,098-860-7570
33,沖縄ホテル,26.220833,127.696389,沖縄県那覇市大道35,098-884-3191
35,ヒルトン沖縄瀬底リゾート,26.649167,127.863333,沖縄県国頭郡本部町瀬底5750,0980-47-6300
36,瀬底山荘,26.657222,127.876944,沖縄県国頭郡本部町瀬底2263-4,0980-47-5115
37,美ら海ビレッジ 瀬底島店,26.656111,127.875278,沖縄県国頭郡本部町瀬底2471-1,0980-48-3999
38,ヴィラ・ド・セソコ,26.655278,127.875556,沖縄県国頭郡本部町瀬底2268,090-6868-6031
39,Ｍｏｎｄｏｒｃｅ（モンドルチェ）,26.654722,127.877778,沖縄県国頭郡本部町瀬底2346-1,080-6490-3131
40,コンパートメントホテル ＳＥＳＯＫＯ ２２８,26.658056,127.875833,沖縄県国頭郡本部町瀬底228,0980-43-0304
41,Ｅｉｔｈｅｒ（アイザ）,26.6575,127.877222,沖縄県国頭郡本部町瀬底2268-1,0980-43-9111
43,ヴィラ・テラセ・セ・アモア・コウリ,,,沖縄県国頭郡今帰仁村古宇利1189-1,0980-56-1189
44,カヤーツ古宇利島,,,沖縄県国頭郡今帰仁村古宇利1900,0980-56-1770
45,Ｌａ　Ｃａｓｉｔａ　古宇利島,,,沖縄県国頭郡今帰仁村古宇利2019,0980-56-1133
46,古宇利島ヴィラ　Ｓｕｉｔｅ　Ｖｉｌｌａ　ＫＯＵＲＩ,,,沖縄県国頭郡今帰仁村古宇利1941-1,098-989-1421
47,Ｍｕｋａｋａ　Ｖｉｌｌａ　古宇利島,,,沖縄県国頭郡今帰仁村古宇利2143-16,080-6485-6184
48,アイランドヴィラ　一（いち）,,,沖縄県国頭郡今帰仁村古宇利2072,090-8822-2072
49,オーシャンブリーズ,,,沖縄県国頭郡今帰仁村古宇利114-1,0980-56-1551
50,ＫＯＵＲＩ　ＳＨＯＲＥＳ,,,沖縄県国頭郡今帰仁村古宇利2247-1,0980-43-9111
51,ヴィラ・オーシャンビュー古宇利,,,沖縄県国頭郡今帰仁村古宇利2541-1,0980-43-6111
52,古宇利島カフェ＆コテージ　オーシャンブリーズ,,,沖縄県国頭郡今帰仁村古宇利312-1,0980-56-1551
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
