hotel_id,ota,ota_id,,
133,yahoo,00081394,,
134,rakuten,183412,,
134,jalan,yad364143,,
134,yahoo,00002956,,
135,rakuten,187553,,
135,jalan,yad385690,,
135,yahoo,00001824,,
136,rakuten,180687,,
136,jalan,yad395499,,
136,yahoo,00002828,,
137,rakuten,145332,,
137,jalan,yad354596,,
137,yahoo,00030410,,
138,rakuten,28400,,
138,jalan,yad371622,,
138,yahoo,00030197,,
139,rakuten,74545,,
139,jalan,yad396620,,
139,yahoo,,,
140,rakuten,139847,,
140,jalan,yad311757,,
140,yahoo,,,
141,rakuten,,,
141,jalan,,,
141,yahoo,,,
142,rakuten,,,
142,jalan,,,
142,yahoo,,,
143,rakuten,,,
143,jalan,,,
143,yahoo,,,
144,rakuten,,,
144,jalan,,,
144,yahoo,,,
145,rakuten,,,
145,jalan,,,
145,yahoo,,,
146,rakuten,,,
146,jalan,,,
146,yahoo,,,
147,rakuten,,,
147,jalan,,,
147,yahoo,,,
148,rakuten,,,
148,jalan,,,
148,yahoo,,,
149,rakuten,,,
149,jalan,,,
149,yahoo,,,
150,rakuten,,,
150,jalan,,,
150,yahoo,,,
151,rakuten,,,
151,jalan,,,
151,yahoo,,,
152,rakuten,,,
152,jalan,,,
152,yahoo,,,
153,rakuten,,,
153,jalan,,,
153,yahoo,,,
154,rakuten,,,
154,jalan,,,
154,yahoo,,,
155,rakuten,,,
155,jalan,,,
155,yahoo,,,
156,rakuten,,,
156,jalan,,,
156,yahoo,,,
157,rakuten,,,
157,jalan,,,
157,yahoo,,,
158,rakuten,,,
158,jalan,,,
158,yahoo,,,
159,rakuten,,,
159,jalan,,,
159,yahoo,,,
160,rakuten,,,
160,jalan,,,
160,yahoo,,,
161,rakuten,,,
161,jalan,,,
161,yahoo,,,
162,rakuten,,,
162,jalan,,,
162,yahoo,,,
163,rakuten,,,
163,jalan,,,
163,yahoo,,,
164,rakuten,,,
164,jalan,,,
164,yahoo,,,
165,rakuten,,,
165,jalan,,,
165,yahoo,,,
166,rakuten,,,
166,jalan,,,
166,yahoo,,,
167,rakuten,,,
167,jalan,,,
167,yahoo,,,
168,rakuten,,,
168,jalan,,,
168,yahoo,,,
169,rakuten,,,
169,jalan,,,
169,yahoo,,,
170,rakuten,,,
170,jalan,,,
170,yahoo,,,
171,rakuten,,,
171,jalan,,,
171,yahoo,,,
172,rakuten,,,
172,jalan,,,
172,yahoo,,,
173,rakuten,,,
173,jalan,,,
173,yahoo,,,
174,rakuten,,,
174,jalan,,,
174,yahoo,,,
175,rakuten,,,
175,jalan,,,
175,yahoo,,,
176,rakuten,,,
176,jalan,,,
176,yahoo,,,
177,rakuten,,,
177,jalan,,,
177,yahoo,,,
178,rakuten,,,
178,jalan,,,
178,yahoo,,,
179,rakuten,,,
179,jalan,,,
179,yahoo,,,
180,rakuten,,,
180,jalan,,,
180,yahoo,,,
181,rakuten,,,
181,jalan,,,
181,yahoo,,,
182,rakuten,,,
182,jalan,,,
182,yahoo,,,
183,rakuten,,,
183,jalan,,,
183,yahoo,,,
184,rakuten,,,
184,jalan,,,
184,yahoo,,,
185,rakuten,,,
185,jalan,,,
185,yahoo,,,
186,rakuten,,,
186,jalan,,,
186,yahoo,,,
187,rakuten,,,
187,jalan,,,
187,yahoo,,,
188,rakuten,,,
188,jalan,,,
188,yahoo,,,
189,rakuten,,,
189,jalan,,,
189,yahoo,,,
190,rakuten,,,
190,jalan,,,
190,yahoo,,,
191,rakuten,,,
191,jalan,,,
191,yahoo,,,
192,rakuten,,,
192,jalan,,,
192,yahoo,,,
193,rakuten,,,
193,jalan,,,
193,yahoo,,,
194,rakuten,,,
194,jalan,,,
194,yahoo,,,
195,rakuten,,,
195,jalan,,,
195,yahoo,,,
196,rakuten,,,
196,jalan,,,
196,yahoo,,,
197,rakuten,,,
197,jalan,,,
197,yahoo,,,
198,rakuten,,,
198,jalan,,,
198,yahoo,,,
199,rakuten,,,
199,jalan,,,
199,yahoo,,,
200,rakuten,,,
200,jalan,,,
200,yahoo,,,
201,rakuten,,,
201,jalan,,,
201,yahoo,,,
202,rakuten,,,
202,jalan,,,
202,yahoo,,,
203,rakuten,,,
203,jalan,,,
203,yahoo,,,
204,rakuten,,,
204,jalan,,,
204,yahoo,,,
205,rakuten,,,
205,jalan,,,
205,yahoo,,,
206,rakuten,,,
206,jalan,,,
206,yahoo,,,
207,rakuten,,,
207,jalan,,,
207,yahoo,,,
208,rakuten,,,
208,jalan,,,
208,yahoo,,,
209,rakuten,,,
209,jalan,,,
209,yahoo,,,
210,rakuten,,,
210,jalan,,,
210,yahoo,,,
211,rakuten,,,
211,jalan,,,
211,yahoo,,,
212,rakuten,,,
212,jalan,,,
212,yahoo,,,
213,rakuten,,,
213,jalan,,,
213,yahoo,,,
214,rakuten,,,
214,jalan,,,
214,yahoo,,,
215,rakuten,,,
215,jalan,,,
215,yahoo,,,
216,rakuten,,,
216,jalan,,,
216,yahoo,,,
217,rakuten,,,
217,jalan,,,
217,yahoo,,,
218,rakuten,,,
218,jalan,,,
218,yahoo,,,
219,rakuten,,,
219,jalan,,,
219,yahoo,,,
220,rakuten,,,
220,jalan,,,
220,yahoo,,,
221,rakuten,,,
221,jalan,,,
221,yahoo,,,
222,rakuten,,,
222,jalan,,,
222,yahoo,,,
223,rakuten,,,
223,jalan,,,
223,yahoo,,,
224,rakuten,,,
224,jalan,,,
224,yahoo,,,
225,rakuten,,,
225,jalan,,,
225,yahoo,,,
226,rakuten,,,
226,jalan,,,
226,yahoo,,,
227,rakuten,,,
227,jalan,,,
227,yahoo,,,
228,rakuten,,,
228,jalan,,,
228,yahoo,,,
229,rakuten,,,
229,jalan,,,
229,yahoo,,,
230,rakuten,,,
230,jalan,,,
230,yahoo,,,
231,rakuten,,,
231,jalan,,,
231,yahoo,,,
232,rakuten,,,
232,jalan,,,
232,yahoo,,,
233,rakuten,,,
233,jalan,,,
233,yahoo,,,
234,rakuten,,,
234,jalan,,,
234,yahoo,,,
235,rakuten,,,
235,jalan,,,
235,yahoo,,,
236,rakuten,,,
236,jalan,,,
236,yahoo,,,
237,rakuten,,,
237,jalan,,,
237,yahoo,,,
238,rakuten,,,
238,jalan,,,
238,yahoo,,,
239,rakuten,,,
239,jalan,,,
239,yahoo,,,
240,rakuten,,,
240,jalan,,,
240,yahoo,,,
241,rakuten,,,
241,jalan,,,
241,yahoo,,,
242,rakuten,,,
242,jalan,,,
242,yahoo,,,
243,rakuten,,,
243,jalan,,,
243,yahoo,,,
244,rakuten,,,
244,jalan,,,
244,yahoo,,,
245,rakuten,,,
245,jalan,,,
245,yahoo,,,
246,rakuten,,,
246,jalan,,,
246,yahoo,,,
247,rakuten,,,
247,jalan,,,
247,yahoo,,,
248,rakuten,,,
248,jalan,,,
248,yahoo,,,
249,rakuten,,,
249,jalan,,,
249,yahoo,,,
250,rakuten,,,
250,jalan,,,
250,yahoo,,,
251,rakuten,,,
251,jalan,,,
251,yahoo,,,
252,rakuten,,,
252,jalan,,,
252,yahoo,,,
253,rakuten,,,
253,jalan,,,
253,yahoo,,,
254,rakuten,,,
254,jalan,,,
254,yahoo,,,
255,rakuten,,,
255,jalan,,,
255,yahoo,,,
256,rakuten,,,
256,jalan,,,
256,yahoo,,,
257,rakuten,,,
257,jalan,,,
257,yahoo,,,
258,rakuten,,,
258,jalan,,,
258,yahoo,,,
259,rakuten,,,
259,jalan,,,
259,yahoo,,,
260,rakuten,,,
260,jalan,,,
260,yahoo,,,
261,rakuten,,,
261,jalan,,,
261,yahoo,,,
262,rakuten,,,
262,jalan,,,
262,yahoo,,,
263,rakuten,,,
263,jalan,,,
263,yahoo,,,
264,rakuten,,,
264,jalan,,,
264,yahoo,,,
265,rakuten,,,
265,jalan,,,
265,yahoo,,,
266,rakuten,,,
266,jalan,,,
266,yahoo,,,
267,rakuten,,,
267,jalan,,,
267,yahoo,,,
268,rakuten,,,
268,jalan,,,
268,yahoo,,,
269,rakuten,,,
269,jalan,,,
269,yahoo,,,
270,rakuten,,,
270,jalan,,,
270,yahoo,,,
271,rakuten,,,
271,jalan,,,
271,yahoo,,,
272,rakuten,,,
272,jalan,,,
272,yahoo,,,
273,rakuten,,,
273,jalan,,,
273,yahoo,,,
274,rakuten,,,
274,jalan,,,
274,yahoo,,,
275,,,,
275,,,,
275,,,,
276,,,,
276,,,,
276,,,,
277,,,,
277,,,,
277,,,,
278,,,,
278,,,,
278,,,,
279,,,,
279,,,,
279,,,,
280,,,,
280,,,,
280,,,,
281,,,,
281,,,,
281,,,,
282,,,,
282,,,,
282,,,,
283,,,,
283,,,,
283,,,,
284,,,,
284,,,,
284,,,,
285,,,,
285,,,,
285,,,,
286,,,,
286,,,,
286,,,,
287,,,,
287,,,,
287,,,,
288,,,,
288,,,,
288,,,,
289,,,,
289,,,,
289,,,,
290,,,,
290,,,,
290,,,,
291,,,,
291,,,,
291,,,,
292,,,,
292,,,,
292,,,,
293,,,,
293,,,,
293,,,,
294,,,,
294,,,,
294,,,,
295,,,,
295,,,,
295,,,,
296,,,,
296,,,,
296,,,,
297,,,,
297,,,,
297,,,,
298,,,,
298,,,,
298,,,,
299,,,,
299,,,,
299,,,,
300,,,,
300,,,,
300,,,,
301,,,,
301,,,,
301,,,,
302,,,,
302,,,,
302,,,,
303,,,,
303,,,,
303,,,,
304,,,,
304,,,,
304,,,,
305,,,,
305,,,,
305,,,,
306,,,,
306,,,,
306,,,,
307,,,,
307,,,,
307,,,,
308,,,,
308,,,,
308,,,,
309,,,,
309,,,,
309,,,,
310,,,,
310,,,,
310,,,,
311,,,,
311,,,,
311,,,,
312,,,,
312,,,,
312,,,,
313,,,,
313,,,,
313,,,,
314,,,,
314,,,,
314,,,,
315,,,,
315,,,,
315,,,,
316,,,,
316,,,,
316,,,,
317,,,,
317,,,,
317,,,,
318,,,,
318,,,,
318,,,,
319,,,,
319,,,,
319,,,,
320,,,,
320,,,,
320,,,,
321,,,,
321,,,,
321,,,,
322,,,,
322,,,,
322,,,,
322,,,,
323,,,,
323,,,,
323,,,,
324,,,,
324,,,,
324,,,,
325,,,,
325,,,,
325,,,,
326,,,,
326,,,,
326,,,,
327,,,,
327,,,,
327,,,,
328,,,,
328,,,,
328,,,,
329,,,,
329,,,,
329,,,,
330,,,,
330,,,,
330,,,,
331,,,,
331,,,,
331,,,,
332,,,,
332,,,,
332,,,,
333,,,,
333,,,,
333,,,,
334,,,,
334,,,,
334,,,,
335,,,,
335,,,,
335,,,,
336,,,,
336,,,,
336,,,,
337,,,,
337,,,,
337,,,,
338,,,,
338,,,,
338,,,,
339,,,,
339,,,,
339,,,,
340,,,,
340,,,,
340,,,,
341,,,,
341,,,,
341,,,,
342,,,,
342,,,,
342,,,,
343,,,,
343,,,,
343,,,,
344,,,,
344,,,,
344,,,,
345,,,,
345,,,,
345,,,,
346,,,,
346,,,,
346,,,,
347,,,,
347,,,,
347,,,,
348,,,,
348,,,,
348,,,,
349,,,,
349,,,,
349,,,,
350,,,,
350,,,,
350,,,,
351,,,,
351,,,,
351,,,,
352,,,,
352,,,,
352,,,,
353,,,,
353,,,,
353,,,,
354,,,,
354,,,,
354,,,,
355,,,,
355,,,,
355,,,,
356,,,,
356,,,,
356,,,,
357,,,,
357,,,,
357,,,,
358,,,,
358,,,,
358,,,,
359,,,,
359,,,,
359,,,,
360,,,,
360,,,,
360,,,,
361,,,,
361,,,,
361,,,,
362,,,,
362,,,,
362,,,,
363,,,,
363,,,,
363,,,,
364,,,,
364,,,,
364,,,,
365,,,,
365,,,,
365,,,,
366,,,,
366,,,,
366,,,,
367,,,,
367,,,,
367,,,,
368,,,,
368,,,,
368,,,,
369,,,,
369,,,,
369,,,,
370,,,,
370,,,,
370,,,,
371,,,,
371,,,,
371,,,,
372,,,,
372,,,,
372,,,,
373,,,,
373,,,,
373,,,,
374,,,,
374,,,,
374,,,,
375,,,,
375,,,,
375,,,,
376,,,,
376,,,,
376,,,,
377,,,,
377,,,,
377,,,,
378,,,,
378,,,,
378,,,,
379,,,,
379,,,,
379,,,,
380,,,,
380,,,,
380,,,,
381,,,,
381,,,,
381,,,,
382,,,,
382,,,,
382,,,,
383,,,,
383,,,,
383,,,,
384,,,,
384,,,,
384,,,,
385,,,,
385,,,,
385,,,,
386,,,,
386,,,,
386,,,,
387,,,,
387,,,,
387,,,,
388,,,,
388,,,,
388,,,,
389,,,,
389,,,,
389,,,,
390,,,,
390,,,,
390,,,,
391,,,,
391,,,,
391,,,,
392,,,,
392,,,,
392,,,,
393,,,,
393,,,,
393,,,,
394,,,,
394,,,,
394,,,,
395,,,,
395,,,,
395,,,,
396,,,,
396,,,,
396,,,,
397,,,,
397,,,,
397,,,,
398,,,,
398,,,,
398,,,,
399,,,,
399,,,,
399,,,,
400,,,,
400,,,,
400,,,,
401,,,,
401,,,,
401,,,,
402,,,,
402,,,,
402,,,,
403,,,,
403,,,,
403,,,,
404,,,,
404,,,,
404,,,,
405,,,,
405,,,,
405,,,,
406,,,,
406,,,,
406,,,,
407,,,,
407,,,,
407,,,,
408,,,,
408,,,,
408,,,,
409,,,,
409,,,,
409,,,,
410,,,,
410,,,,
410,,,,
411,,,,
411,,,,
411,,,,
412,,,,
412,,,,
412,,,,
413,,,,
413,,,,
413,,,,
414,,,,
414,,,,
414,,,,
415,,,,
415,,,,
415,,,,
416,,,,
416,,,,
416,,,,
417,,,,
417,,,,
417,,,,
418,,,,
418,,,,
418,,,,
419,,,,
419,,,,
419,,,,
420,,,,
420,,,,
420,,,,
421,,,,
421,,,,
421,,,,
422,,,,
422,,,,
422,,,,
423,,,,
423,,,,
423,,,,
424,,,,
424,,,,
424,,,,
425,,,,
425,,,,
425,,,,
426,,,,
426,,,,
426,,,,
427,,,,
427,,,,
427,,,,
428,,,,
428,,,,
428,,,,
429,,,,
429,,,,
429,,,,
430,,,,
430,,,,
430,,,,
431,,,,
431,,,,
431,,,,
432,,,,
432,,,,
432,,,,
433,,,,
433,,,,
433,,,,
434,,,,
434,,,,
434,,,,
435,,,,
435,,,,
435,,,,
436,,,,
436,,,,
436,,,,
437,,,,
437,,,,
437,,,,
438,,,,
438,,,,
438,,,,
439,,,,
439,,,,
439,,,,
440,,,,
440,,,,
440,,,,
441,,,,
441,,,,
441,,,,
442,,,,
442,,,,
442,,,,
443,,,,
443,,,,
443,,,,
444,,,,
444,,,,
444,,,,
445,,,,
445,,,,
445,,,,
446,,,,
446,,,,
446,,,,
447,,,,
447,,,,
447,,,,
448,,,,
448,,,,
448,,,,
449,,,,
449,,,,
449,,,,
450,,,,
450,,,,
450,,,,
451,,,,
451,,,,
451,,,,
452,,,,
452,,,,
452,,,,
453,,,,
453,,,,
453,,,,
454,,,,
454,,,,
454,,,,
455,,,,
455,,,,
455,,,,
456,,,,
456,,,,
456,,,,
457,,,,
457,,,,
457,,,,
458,,,,
458,,,,
458,,,,
459,,,,
459,,,,
459,,,,
460,,,,
460,,,,
460,,,,
461,,,,
461,,,,
461,,,,
462,,,,
462,,,,
462,,,,
463,,,,
463,,,,
463,,,,
464,,,,
464,,,,
464,,,,
465,,,,
465,,,,
465,,,,
466,,,,
466,,,,
466,,,,
467,,,,
467,,,,
467,,,,
468,,,,
468,,,,
468,,,,
469,,,,
469,,,,
469,,,,
470,,,,
470,,,,
470,,,,
471,,,,
471,,,,
471,,,,
472,,,,
472,,,,
472,,,,
473,,,,
473,,,,
473,,,,
474,,,,
474,,,,
474,,,,
475,,,,
475,,,,
475,,,,
476,,,,
476,,,,
476,,,,
477,,,,
477,,,,
477,,,,
478,,,,
478,,,,
478,,,,
479,,,,
479,,,,
479,,,,
480,,,,
480,,,,
480,,,,
481,,,,
481,,,,
481,,,,
482,,,,
482,,,,
482,,,,
483,,,,
483,,,,
483,,,,
484,,,,
484,,,,
484,,,,
485,,,,
485,,,,
485,,,,
486,,,,
486,,,,
486,,,,
487,,,,
487,,,,
487,,,,
488,,,,
488,,,,
488,,,,
489,,,,
489,,,,
489,,,,
490,,,,
490,,,,
490,,,,
491,,,,
491,,,,
491,,,,
492,,,,
492,,,,
492,,,,
493,,,,
493,,,,
493,,,,
494,,,,
494,,,,
494,,,,
495,,,,
495,,,,
495,,,,
496,,,,
496,,,,
496,,,,
497,,,,
497,,,,
497,,,,
498,,,,
498,,,,
498,,,,
499,,,,
499,,,,
499,,,,
500,,,,
500,,,,
500,,,,
501,,,,
501,,,,
501,,,,
502,,,,
502,,,,
502,,,,
503,,,,
503,,,,
503,,,,
504,,,,
504,,,,
504,,,,
505,,,,
505,,,,
505,,,,
506,,,,
506,,,,
506,,,,
507,,,,
507,,,,
507,,,,
508,,,,
508,,,,
508,,,,
509,,,,
509,,,,
509,,,,
510,,,,
510,,,,
510,,,,
511,,,,
511,,,,
511,,,,
512,,,,
512,,,,
512,,,,
513,,,,
513,,,,
513,,,,
514,,,,
514,,,,
514,,,,
515,,,,
515,,,,
515,,,,
516,,,,
516,,,,
516,,,,
517,,,,
517,,,,
517,,,,
518,,,,
518,,,,
518,,,,
519,,,,
519,,,,
519,,,,
520,,,,
520,,,,
520,,,,
521,,,,
521,,,,
521,,,,
522,,,,
522,,,,
522,,,,
523,,,,
523,,,,
523,,,,
524,,,,
524,,,,
524,,,,
525,,,,
525,,,,
525,,,,
526,,,,
526,,,,
526,,,,
527,,,,
527,,,,
527,,,,
528,,,,
528,,,,
528,,,,
529,,,,
529,,,,
529,,,,
530,,,,
530,,,,
530,,,,
531,,,,
531,,,,
531,,,,
532,,,,
532,,,,
532,,,,
533,,,,
533,,,,
533,,,,
534,,,,
534,,,,
534,,,,
535,,,,
535,,,,
535,,,,
536,,,,
536,,,,
536,,,,
537,,,,
537,,,,
537,,,,
538,,,,
538,,,,
538,,,,
539,,,,
539,,,,
539,,,,
540,,,,
540,,,,
540,,,,
541,,,,
541,,,,
541,,,,
542,,,,
542,,,,
542,,,,
543,,,,
543,,,,
543,,,,
544,,,,
544,,,,
544,,,,
545,,,,
545,,,,
545,,,,
546,,,,
546,,,,
546,,,,
547,,,,
547,,,,
547,,,,
548,,,,
548,,,,
548,,,,
549,,,,
549,,,,
549,,,,
550,,,,
550,,,,
550,,,,
551,,,,
551,,,,
551,,,,
552,,,,
552,,,,
552,,,,
553,,,,
553,,,,
553,,,,
554,,,,
554,,,,
554,,,,
555,,,,
555,,,,
555,,,,
556,,,,
556,,,,
556,,,,
557,,,,
557,,,,
557,,,,
558,,,,
558,,,,
558,,,,
559,,,,
559,,,,
559,,,,
560,,,,
560,,,,
560,,,,
561,,,,
561,,,,
561,,,,
562,,,,
562,,,,
562,,,,
563,,,,
563,,,,
563,,,,
564,,,,
