宿名,楽天ID,じゃらんID,緯度,経度,住所,電話番号,
ホテル京阪　浅草,80619,,,35.71482514,139.792804,東京都台東区浅草2-12-4,03-5830-0321
鎧浅草ホテル　＾,194107,,,35.7116704,139.7959001,東京都台東区浅草1-20-4　浅草1-ビル3，4階,080-4467-9239
宿家　やなぎ通り西棟,183990,,,35.7181332,139.7969009,東京都台東区浅草4-10-4,050-8880-4077
宿家　やなぎ通り東棟,183991,,,35.7181332,139.7969009,東京都台東区浅草4-10-4,050-8880-4077
ＨＯＴＥＬ　ＴＡＶＩＮＯＳ　Ａｓａｋｕｓａ（ホテルタビノス浅草）,178188,,,35.71629508,139.7930072,東京都台東区 浅草2丁目18番8号,03-6837-6867
プロスタイル旅館　東京浅草,177547,,,35.7144283,139.8008685,東京都台東区花川戸2-12-11,03-5830-6015
展望大浴場あさひ湯　ドーミーインＥＸＰＲＥＳＳ浅草（旧：ドーミーインｇｌｏｂａｌ　ｃａｂｉｎ浅草）,819,,,35.71184508,139.7988258,東京都台東区花川戸1-3-4,03-3845-1122
浅草東武ホテル,179075,,,35.71133982,139.7975051,東京都台東区浅草1-1-15,03-3843-0111
宿家　浅草本館,183888,,,35.7182792,139.7978727,東京都台東区浅草4-6-6,050-8880-4077
Ｇｕｅｓｔ　Ｈｏｕｓｅ　Ｔｏｋｙｏ　Ｓａｍｕｒａｉ,187942,,,35.7148503,139.7922487,東京都台東区西浅草3-16-10,03-5830-6742
Ａ．Ｋビル／民泊,170474,,,35.7179394,139.7990614,東京都台東区浅草4-1-11　Ａ．Ｋビル,050-5444-6620
雷門旅館,39581,,,35.71113675,139.7961511,東京都台東区浅草1-18-2,03-3844-1873
ｔｈｅ　ｂ　浅草（ザビー　あさくさ）,187388,,,35.7145966,139.7921493,東京都台東区西浅草3-16-12,03-6284-7057
浅草ビューホテル,570,,,35.71544449,139.7921763,東京都台東区西浅草3-17-1,0570-003-235
Ｓｔａｙ　ＳＡＫＵＲＡ　Ｔｏｋｙｏ　浅草　アールデコホテル,180825,,,35.7149724,139.7920817,東京都台東区西浅草3-16-8,050-2018-7882
宿家浅草千の里　＾,173631,,,35.7161473,139.8010792,東京都台東区浅草6-3-8,050-8880-4077
宿家　千の川,183762,,,35.7161087,139.8012291,東京都台東区浅草6-3-9,050-8880-4077
淺草千の森,193434,,,35.7161087,139.8012291,東京都台東区浅草6-3-9,03-6627-1944
宿家　千の里,183764,,,35.71619339,139.801191,東京都台東区浅草6-3-8,050-8880-4077
ドミカフェＫ,163041,,,35.7118297,139.7935335,東京都台東区浅草1-14-3,070-4010-0888
宿家　千の風,183763,,,35.71619202,139.8012523,東京都台東区浅草6-3-8,050-8880-4077
ホテルトレンド浅草,153681,,,35.7120686,139.793003,東京都台東区浅草1-12-9,03-5246-5211
浅草セントラルホテル,18476,,,35.71129312,139.7941513,東京都台東区浅草1-5-3,03-3847-2222
ホテルトレンド浅草ＡＮＮＥＸ,166275,,,35.7120686,139.7928558,東京都台東区浅草1-12-7,03-5246-5211
ＬＡＮＧ　ＨＯＴＥＬ　Ａｓａｋｕｓａ　＾,195547,,,35.7113737,139.793818,東京都台東区浅草1-6-2　LANG HOTEL Asakusa,050-1180-4542
マーベラス浅草　＾,194850,,,35.71895078,139.7968839,東京都台東区浅草4-43-7　マーベラス浅草,050-1180-4542
ＬａｃＱｕｅｒ　Ｈｏｕｓｅ　ＡＳＡＫＵＳＡ　Ｉ,181748,,,35.7180075,139.793418,東京都台東区浅草3-41-2,03-6263-0423
ＬａｃＱｕｅｒ　Ｈｏｕｓｅ　ＡＳＡＫＵＳＡ　ＩＩ,181749,,,35.7180075,139.793418,東京都台東区浅草3-41-2,03-6263-0423
ＴＨＥ　ＧＡＴＥ　ＨＯＴＥＬ（ザ・ゲートホテル）　雷門　ｂｙ　ＨＵＬＩＣ,137085,,,35.71078399,139.7952734,東京都台東区雷門2-16-11,03-5826-3877
ファーイーストビレッジホテル東京浅草,187265,,,35.71224,139.7924889,東京都台東区浅草1-11-6,03-5246-3855
ＲＥＳＯＬ　ＰＯＳＨＴＥＬ　ＴＯＫＹＯ　ＡＳＡＫＵＳＡ,177801,,,35.71351111,139.7913111,東京都台東区西浅草2-25-1,03-5830-6118
ＭＩＭＡＲＵ東京　浅草ＳＴＡＴＩＯＮ,182465,,,35.71028497,139.7976369,東京都台東区雷門2-20-4,03-6231-7183
ホテルカリフォルニア雷門【大人専用１８禁・ハピホテ提携】,163446,,,35.71023778,139.7956866,東京都台東区雷門2-13-9,03-3845-2521
準備中,184409,,,35.718285,139.7929184,東京都台東区,000-000-0000
浅草吉居ＡＳＡＫＵＳＡ　ＹＯＳＨＩＩ　ＨＯＴＥＬ,188168,,,35.718285,139.7929184,東京都台東区浅草3-42-4,050-3646-9810
旅館○　＾,195001,,,35.7194308,139.7973997,東京都台東区浅草5-5-2,070-1485-1828
ｓｔａｙ　ｍｅ　ＴＨＥ　ＨＯＴＥＬ　浅草リバーサイド,184681,,,35.71549221,139.802392,東京都台東区浅草7-1-8,03-6778-7271
浅草Ｂｕｔｔｏｂｉ,164440,,,35.71230183,139.7916493,東京都台東区西浅草2-12-10,03-6231-7932
ホテルプラスホステル東京浅草１,188306,,,35.7100512,139.7956652,東京都台東区雷門2-13-1,050-1809-2015
アパホテル〈浅草　雷門〉（全室禁煙）,164549,,,35.71005813,139.7952255,東京都台東区雷門2-14-1,0570-022-911
ＶＩＬＬＥＴＴＩＮＡ浅草／民泊,170505,,,35.7193961,139.7988703,東京都台東区浅草5-2-6　ＶＩＬＬＥＴＴＩＮＡ浅草,03-6233-7534
一宿旅館雷門　＾,171784,,,35.7102593,139.7942894,東京都台東区雷門1-12-2　一宿旅館雷門,080-2226-2302
ＨＯＴＥＬ　ＰＲＥＬＥ　ＳＨＩＮＫＡＮ　ホテルプレール新館,168613,,,35.71383058,139.7906568,東京都台東区西浅草2-25-7　ＣＳ浅草ビル2Ｆ,03-5830-3513
ベッセルイン浅草　つくばエクスプレス（上野・浅草・雷門・スカイツリー）,184911,,,35.7184065,139.7923491,東京都台東区千束1-15-1,03-3873-7051
浅草旅館　東海荘,54492,,,35.71317804,139.790807,東京都台東区西浅草2-16-12,03-3844-5618
万雷ホテル,188869,,,35.7097378,139.7965841,東京都台東区雷門2-3-7　ドゥエル浅草ＩＶ,03-6824-6328
ＴＯＥ　ＬＩＢＲＡＲＹ（２０１）　＾,168917,,,35.7175766,139.8020221,東京都台東区浅草7－6－4　ＴＯＥ浅草,090-6055-8869
ＭＯＮｄａｙ　Ａｐａｒｔ　Ｐｒｅｍｉｕｍ　浅草,192239,,,35.71333913,139.7905839,東京都台東区西浅草2-16-5,03-3841-8022
浅草雷門　竹乃宿,181669,,,35.71027311,139.7935917,東京都台東区雷門1-11-2,03-5830-3966
ホテルグレイスリー浅草,166527,,,35.70971662,139.7954011,東京都台東区雷門2-10-2,03-6632-8981
宿家　雀,183760,,,35.7182045,139.8015587,東京都台東区浅草6-35-3,050-8880-4077
Ｈｏｔｅｌ　Ｒｅｓｉｄｅｎｃｅ　Ａｓａｋｕｓａ　ｂｙ　ｕｎｉｔｏ,196278,,,35.7175349,139.7911805,東京都台東区西浅草3-28-11,080-7390-1315
ＷｏｎｄｅｒｆｕｌＳｔａｙＴＯＫＹＯ浅草ＡＮＮＥＸ　＾,195015,,,35.7129273,139.7906012,東京都台東区西浅草2-16-2,03-4405-2361
ＷｏｎｄｅｒｆｕｌＳｔａｙＴＯＫＹＯ浅草　＾,195054,,,35.7129273,139.7906012,東京都台東区西浅草2-16-2,03-4405-2361
ホテルアマネク浅草桜橋,197371,,,35.7182911,139.8016683,東京都台東区浅草6-35-8,03-5824-5533
アパホテル〈浅草　雷門南〉（全室禁煙）,183041,,,35.70959624,139.7951939,東京都台東区雷門2-9-1,0570-023-411
ホテル庵浅草,167967,,,35.71279797,139.7905945,東京都台東区西浅草2-10-6,03-5246-4407
ｐｌａｔ　ｈｏｓｔｅｌ　ｋｅｉｋｙｕ　ａｓａｋｕｓａ　ｓｔａｔｉｏｎ,167654,,,35.71341595,139.7903272,東京都台東区西浅草2-17-11,03-5811-1607
Ｓｔａｙ　ＳＡＫＵＲＡ　Ｔｏｋｙｏ　浅草　江戸乃舞,178599,,,35.7178131,139.7912383,東京都台東区千束1丁目6-3,050-2018-7882
合豊花園旅館　＾,199871,,,35.712176,139.7908268,東京都台東区西浅草2-2-10,080-8887-3198
Ｈｏｓｔｅｌ　Ｃｈａｐｔｅｒ　Ｔｗｏ　Ｔｏｋｙｏ,166201,,,35.70932379,139.7972373,東京都台東区雷門2-1-6,03-6802-7552
ライトニングホテル　浅草,173171,,,35.7108266,139.7920141,東京都台東区雷門1-8-6,03-5811-1772
ホテルサンルート浅草,70768,,,35.71067836,139.7920404,東京都台東区雷門1-8-5,03-3847-1511
宿家　梟,183767,,,35.7199149,139.7995608,東京都台東区浅草5-45-9,050-8880-4077
ホステルわさび浅草,183066,,,35.7200382,139.7934677,東京都台東区浅草4-31-8,03-6240-6258
ＫＯＫＯ　ＨＯＴＥＬ　Ｒｅｓｉｄｅｎｃｅ浅草かっぱ橋,184258,,,35.7158233,139.7893927,東京都台東区西浅草3-24-2,03-5830-8770
ＧＵＥＳＴ　ＨＯＵＳＥ　田家,153551,,,35.7128268,139.7895976,東京都台東区西浅草2-8-5,050-1194-0168
Ｃａｌｍ浅草雷門,182674,,,35.7092101,139.799844,東京都墨田区吾妻橋1-15-7,050-3184-4017
吉月閣　浅草５丁目,179064,,,35.7209037,139.7956951,東京都台東区浅草5-30-5,080-9665-0360
宿家　象潟,193239,,,35.7209383,139.7973897,東京都台東区浅草5-39-8,050-8880-4077
Ａｓａｋｕｓａ　ＨｏｍｅＳｕｉｔｅｓ　Ｔｏｋｙｏ,180676,,,35.7136861,139.789183,東京都台東区西浅草2-20-10,03-6555-2521
東京日和ホテル　＾,195077,,,35.7090327,139.7995445,東京都墨田区吾妻橋1-15-12,080-7405-1349
Ｍｉｎｎ　浅草かっぱ橋,187240,,,35.7170984,139.7893023,東京都台東区西浅草3-25-13,050-3188-1063
ホテル浅草＆カプセル,70340,,,35.70902858,139.7931987,東京都台東区寿4-14-9,03-3847-4477
つるや旅館＜東京都＞,41615,,,35.71024535,139.8023034,東京都墨田区吾妻橋2-18-2,03-3622-9819
ＨＯＴＥＬ　ＬＩＴＴＬＥ　ＢＩＲＤ　ＯＫＵ－ＡＳＡＫＵＳＡ,179297,,,35.72115505,139.794859,東京都台東区浅草5-14-4,050-3695-0465
ＫＯＫＯ　ＨＯＴＥＬ　浅草駒形,158597,,,35.7082561,139.7960433,東京都台東区駒形2-7-5,03-6777-1188
Ｂ／Ｃ　ＡＰＡＲＴＭＥＮＴ　浅草花園通　レンタカー／サウナ付きホテル,191995,,,35.7212931,139.7950559,東京都台東区浅草5-32-3,050-3101-9683
ＡＩ　Ｇｒａｎｄｉｒ　吾妻橋,197811,,,35.7084585,139.7990789,東京都墨田区吾妻橋1-13-15　AI Grandir 吾妻橋,080-8500-9217
アパホテル〈浅草駅前〉（全室禁煙）,167943,,,35.7081856,139.7955474,東京都台東区駒形1-12-16,0570-021-811
宿家　千草町,183765,,,35.7214654,139.7960422,東京都台東区浅草5-35-3,050-8880-4077
宿家　浅草千草町,173202,,,35.7214701,139.7960348,東京都台東区浅草5-35-3,03-6240-6500
ＰＬＡＹＳＩＳ　ＥＡＳＴ　ＴＯＫＹＯ,167521,,,35.7098494,139.8023301,東京都墨田区吾妻橋2-11-1,03-6658-4800
広華Ｈｏｕｓｅ　ＴＯＫＹＯ　ＡＳＡＫＵＳＡ／民泊,194057,,,35.7215805,139.7965342,東京都台東区浅草5-36-7　江藤ビル3Ｆ,050-8880-4077
コノハ　ハウス　【Ｊａｐａｎｅｓｅ－ｓｔｙｌｅ　ｇｕｅｓｔ　ｈｏｕｓｅ　ｎｅａｒ　Ａｓａｋｕｓａ　＾,190098,,,35.7093664,139.8019483,東京都墨田区吾妻橋1-22-12　Ｋｏｎｏｈａ　Ｈｏｕｓｅ,070-3816-8011
ホテル　アマネク　浅草駅前,167914,,,35.70789742,139.795741,東京都台東区駒形2-7-2,03-5830-6234
アパホテル〈浅草　田原町駅前〉,162808,,,35.71042278,139.7900474,東京都台東区西浅草1-2-3,0570-080-111
ＢＯＮ東京浅草,182803,,,35.7081246,139.7992494,東京都墨田区吾妻橋1-10-12,03-5608-2542
Ｒａｋｕｔｅｎ　ＳＴＡＹ　東京浅草,170213,,,35.7103482,139.8033794,東京都墨田区吾妻橋2-16-6,050-1750-9719
エースイン浅草,79337,,,35.72174386,139.7949563,東京都台東区千束3-1-10,03-3875-6900
Ｓｅｉｒａｉ　Ａｓａｋｕｓａ　Ｖａｃａｔｉｏｎ　Ｒｅｎｔａｌ　＾,190183,,,35.70872963,139.7921214,東京都台東区寿4-6-8　Ｓｅｉｒａｉ　Ａｓａｋｕｓａ　Ｖａｃａｔｉｏｎ　Ｒｅｎｔａｌ,070-4749-4704
Ｔａｂｉｓｔ　アーバンステイズ浅草,145045,,,35.708466,139.800867,東京都墨田区吾妻橋１－８－９,03-6456-1935
浅草ホテル旅籠,136122,,,35.707661,139.7956752,東京都台東区駒形2-6-8,03-6802-7277
ＳＡＫＥ　Ｂａｒ　Ｈｏｔｅｌ　浅草,189264,,,35.7078632,139.7943667,東京都台東区駒形1-6-7,03-3847-7117
Ａｓａｋｕｓａ　Ｓｋｙ　Ｓｔａｙ　５０１５０２　＾,169532,,,35.7084661,139.8009535,東京都墨田区東駒形3-21-2　Ａｓａｋｕｓａ　Ｓｋｙ　Ｓｔａｙ,090-3215-6215
浅草・合羽橋エリア　静かな環境　コンビニ・ミニスーパー至近　最寄り駅複数あり　＾,175494,,,35.7162741,139.7879446,東京都台東区松が谷3-14-4 小林ビル,090-8640-5870
ＥＮＴ　ＴＥＲＲＡＣＥ　ＡＳＡＫＵＳＡ　＾,185265,,,35.7096573,139.7903676,東京都台東区寿2-9-13　ＥＮＴ　ＴＥＲＲＡＣＥ　ＡＳＡＫＵＳＡ,03-6231-7772
ＴＯＫＹＯ－Ｗ－ＩＮＮ　Ａｓａｋｕｓａ,164566,,,35.7083161,139.7923088,東京都台東区寿4-6-1,03-6802-8985
ＩＲＯＨＡ　Ｒｅｓｉｄｅｎｔｉａｌ　Ｓｕｉｔｅ　Ａｓａｋｕｓａ　Ｓｋｙｔｒｅｅ／民泊,169195,,,35.7138095,139.805757,東京都墨田区向島2-3-11　向島戸建,03-4405-2361
桜旅館,206,,,35.71895235,139.7890875,東京都台東区入谷2-6-2,03-3876-8118
アゴーラプレイス　東京浅草,137984,,,35.70901185,139.7909044,東京都台東区寿2-2-9,03-3842-8421
ＨＯＴＥＬ　ＰＲＥＬＥ　Ａｓａｋｕｓａ（ホテルプレール浅草）,166146,,,35.71287897,139.7877778,東京都台東区松が谷2-2-11,03-5830-3513
Ｈｏｔｅｌ　Ｇｕｉｌｄ　５,197486,,,35.7222753,139.7973732,東京都台東区浅草5-63-3,03-5962-7930
ＹＯＬＯ　ＡＳＡＫＵＳＡ　ＳＴＡＹ　＾,199666,,,35.7120266,139.8053444,東京都墨田区向島1-10-3　YOLO ASAKUSA STAY,050-1741-0183
Ｃｕｒｅスカイツリー,197526,,,35.7080417,139.8010317,東京都墨田区吾妻橋1-4-5,080-8500-9217
浅草寺まで徒歩８分の広くて静かな民泊／民泊,194594,,,35.7076791,139.793258,東京都台東区寿3-16-15　新未ビル,080-3270-8416
＆ＡＮＤ　ＨＯＳＴＥＬ　ＡＳＡＫＵＳＡ　ＫＡＰＰＡＢＡＳＨＩ,182149,,,35.7121177,139.7878647,東京都台東区松が谷1-11-4,03-5830-3887
ホテルリブマックス浅草駅前,177434,,,35.70718662,139.7953852,東京都台東区駒形2-6-5,03-5828-7600
ホテルティファニー　＾,186334,,,35.7222199,139.7940571,東京都台東区千束3-25-15号　ホテルティファニー,080-4285-7863
ホテルセイルズ浅草,180319,,,35.7207297,139.7905916,東京都台東区千束2-18-1,03-6375-8091
ＷＩＳＥ　ＯＷＬ　ＨＯＳＴＥＬＳ　ＲＩＶＥＲ　ＴＯＫＹＯ,182185,,,35.71064,139.8047977,東京都墨田区向島1-23-3,03-5608-2960
Ｔｉｅｒｒａ向島,198441,,,35.7122707,139.8057744,東京都墨田区向島1-12-2,080-8500-9217
ＫＯＫＯ　ＨＯＴＥＬ　Ｒｅｓｉｄｅｎｃｅ浅草田原町,184351,,,35.7097919,139.7893328,東京都台東区寿2-8-12,03-5830-8081
金馬伊東旅館,166546,,,35.7070746,139.7952003,東京都台東区駒形2-6-3,080-4662-1979
浅草千束ハウス,158884,,,35.7225094,139.7947717,東京都台東区千束4-28-5,080-4128-4126
変なホテルプレミア東京　浅草田原町,173020,,,35.7081367,139.7913754,東京都台東区寿３丁目１９－８,050-5210-5250
和箔　新,182881,,,35.7181089,139.7877898,東京都台東区松が谷4-21-6,050-3154-0224
ｒａｋｕｎａ　Ｉｎｎ　和　Ｈｏｎｊｏ－Ａｚｕｍａｂａｓｈｉ　＾,175737,,,35.7072402,139.8000203,東京都墨田区東駒形2-21-9　持田ビル　1Ｆ,070-7475-5217
ホテル和箔新,166953,,,35.71823042,139.7877602,東京都台東区松が谷4-21-6,8051884927
浅草ザ・アパートメント,183796,,,35.7088733,139.7898821,東京都台東区寿2-3-8ボニータ・カーサ田原町,090-9100-2281
ＳＯＨＯ浅草,76814,,,35.72277429,139.7945813,東京都台東区千束4-28-11,03-3873-2389
ホテル　ひかり,74548,,,35.72296599,139.7967589,東京都台東区千束４丁目１３－５,03-3875-5229
一宿旅館寿三丁目　＾,194657,,,35.70775826,139.79155,東京都台東区寿3-19-16　牧野ビル,080-2226-2302
東横ＩＮＮ上野田原町駅,129375,,,35.70779255,139.7913433,東京都台東区寿３－１９－５,03-3847-1045
ＬＡＫＵ　ＨＯＴＥＬ　ＡＳＡＫＵＳＡ,197734,,,35.7075899,139.791721,東京都台東区寿3-18-5,03-6279-0620
宿家　松が谷,183972,,,35.7176922,139.7870757,東京都台東区松が谷4-8-5,050-8880-4077
浅草ホテル　＾,186855,,,35.709895,139.788404,東京都台東区寿二-7-8号　Ａｓａｋｕｓａ　Ｈｏｔｅｌ,080-4617-6688
ＫＩＮ　ＨＯＴＥＬ,176793,,,35.7126453,139.786774,東京都台東区松が谷2-3-2,03-5830-6081
ｐｌａｔ　ｈｏｓｔｅｌ　ｋｅｉｋｙｕ　ａｓａｋｕｓａ　ｋａｒｉｎ,172503,,,35.70679412,139.7996665,東京都墨田区東駒形2-11-2,03-3622-3735
ＩＺＡ　浅草　ゲストハウス,149367,,,35.7067052,139.7992999,東京都墨田区東駒形1-18-8,03-5637-7790
Ｎｏｍａｄ　Ｈｏｓｔｅｌ　Ｅａｓｔ,181351,,,35.7066066,139.798976,東京都墨田区東駒形1-18-3,03-0000-0000
宿家　浅草　あさがお,197481,,,35.71995173,139.7884965,東京都台東区入谷2-14-8,050-8880-4077
Ｌａ　Ｔｅｒｒａｓｓｅ東駒形,197553,,,35.7067628,139.7999704,東京都墨田区東駒形2-11-9 La Terrasse,080-8500-9217
ＦＬホテル　浅草,188029,,,35.7146144,139.7861968,東京都台東区松が谷2-30-1,03-6231-6238
ホテルトレンド浅草田原町,171906,,,35.70791371,139.7904935,東京都台東区寿1-18-3,03-5828-3155
観光ホテル　ニューアオキ,31491,,,35.72327148,139.7953507,東京都台東区千束4-23-3,03-3875-8462
Ｌａ　Ｋｒａｓｓｅ　墨田,164580,,,35.71069401,139.805996,東京都墨田区向島1-16-8,03-5610-4768
七福神ハウス／民泊,186434,,,35.7066955,139.7931082,東京都台東区寿3-14-9　スカイテラス浅草,070-9155-9127
武蔵ホテル　＾,170451,,,35.723343,139.795308,東京都台東区千束4-36-1　武蔵ホテル,080-4285-7863
寅ホテル　浅草,187456,,,35.7068908,139.8009394,東京都墨田区東駒形2-13-3,03-6658-5563
ｈｏｔｅｌ　ｎｅｏｒｏｕｇｅ（ホテル　ネオルージュ）,168247,,,35.72338669,139.7952505,東京都台東区千束4-23-4,03-5808-9678
グレイス向島／民泊,190655,,,35.7151607,139.8073929,東京都墨田区向島4-3-3　4-3-3　701,070-4474-0102
ホテル稲本,29499,,,35.72338563,139.794747,東京都台東区千束4-24-13,03-3872-8470
アパホテル〈浅草　蔵前北〉,184763,,,35.70621856,139.794531,東京都台東区駒形2-4-10,0570-025-011
ＡＳＡＫＵＳＡ　ＬＯＦＴ／民泊,195093,,,35.7138104,139.7859504,東京都台東区松が谷2-17-10,03-6231-0330
東横ＩＮＮ浅草蔵前１,108338,,,35.70617058,139.7938626,東京都台東区駒形1-3-13,03-3841-1045
ＭＫＧ　ＨＯＴＥＬ　Ａｓａｋｕｓａ,196159,,,35.7060335,139.7944216,東京都台東区駒形2-4-9,03-5990-8917
ＰＬＡＹＳＩＳ　ＡＳＡＫＵＳＡ,176625,,,35.7059847,139.7987217,東京都墨田区東駒形1-12-2,03-6658-4800
ｍｏｉｒｅ　ＨＯＴＥＬ　ＹＯＳＨＩＷＡＲＡ,198530,,,35.7238226,139.7962265,東京都台東区千束4丁目15-11,--
Ｍｉｎｎ　浅草蔵前　Ｎｏｒｔｈ,193210,,,35.7065866,139.7919854,東京都台東区寿3-12-2,050-1809-5045
東駒形ビル２Ｆ３Ｆ　＾,191032,,,35.7061872,139.8001902,東京都墨田区東駒形2-10-10　2Ｆ,070-4442-3502
宿家　東浅草離宮,173204,,,35.7235868,139.7994609,東京都台東区東浅草2-10-1,03-6240-6500
ＡｓａｋｕｓａＳｋｙＳｔａｙ　＾,171316,,,35.7074365,139.8033768,東京都墨田区東駒形3-21-2　ＡｓａｋｕｓａＳｋｙＳｔａｙ,080-3442-6854
Ｈｏｔｅｌ　Ｐｒｅｌｅ　ホテルプレール,188708,,,35.7166107,139.7856076,東京都台東区松が谷3-10-8,03-5830-3503
ＩＫＯＩ　ＨＯＴＥＬ　ＴＯＫＹＯ,183125,,,35.7222676,139.789992,東京都台東区千束2-35-2,03-6279-0620
Ｕｈｏｍｅ　Ｕｅｎｏ　Ｈｏｔｅｌ,193102,,,35.7112979,139.7861062,東京都台東区松が谷1ー3ー10　きかくビル,070-5070-3517
Ｃｕｒｅ　吾妻橋,197527,,,35.7082342,139.8048276,東京都墨田区吾妻橋3-1-16 Cure 吾妻橋,080-8500-9217
アパホテル〈浅草　蔵前〉,129965,,,35.7056734,139.7943014,東京都台東区駒形2-4-6,0570-024-911
ドッツ東京,182639,,,35.7155869,139.7851782,東京都台東区北上野2-1-17,03-6371-7917
